Sort,Complexity,Time
Quicksort,2844,1389800
Quicksort,1512,874400
Quicksort,1996,865100
Quicksort,2843,1309600
Quicksort,1511,1189100
Quicksort,1995,996300
Quicksort,2842,1076400
Quicksort,1510,904400
Quicksort,1994,848100
Quicksort,2841,1611800
Quicksort,1993,948900
Quicksort,2840,1285300
Quicksort,1992,1157800
Quicksort,1991,1077000
Quicksort,1519,931400
Quicksort,1518,804500
Quicksort,2849,1141800
Quicksort,1517,949500
Quicksort,2848,1340200
Quicksort,1516,721300
Quicksort,2847,1446000
Quicksort,1515,856300
Quicksort,1999,1017600
Quicksort,2846,1284400
Quicksort,1525,826900
Quicksort,2856,1288800
Quicksort,1524,831300
Quicksort,2855,1073100
Quicksort,1523,803000
Quicksort,2854,1124800
Quicksort,1522,992600
Quicksort,2853,1261000
Quicksort,1521,897900
Quicksort,2852,1192800
Quicksort,1520,709900
Quicksort,2851,1227000
Quicksort,2850,1363900
Quicksort,1529,988200
Quicksort,1528,873100
Quicksort,2859,1447600
Quicksort,1527,827200
Quicksort,2858,1146400
Quicksort,1526,711000
Quicksort,2857,1153800
Quicksort,2870,1416600
Quicksort,1536,808000
Quicksort,2867,1301000
Quicksort,1535,978100
Quicksort,2866,1076700
Quicksort,1534,816600
Quicksort,2865,1256400
Quicksort,1533,883800
Quicksort,2864,1388900
Quicksort,1532,1098200
Quicksort,2863,1153300
Quicksort,1531,876300
Quicksort,2862,1164100
Quicksort,1530,898000
Quicksort,2861,1259700
Quicksort,2860,1062700
Quicksort,1539,891200
Quicksort,1538,797700
Quicksort,2869,1321800
Quicksort,1537,830200
Quicksort,2868,1084300
Quicksort,1550,807100
Quicksort,2881,1166200
Quicksort,2880,1057800
Quicksort,1547,823200
Quicksort,2878,1245700
Quicksort,1546,1030300
Quicksort,2877,1169600
Quicksort,1545,716700
Quicksort,2876,1250000
Quicksort,1544,677900
Quicksort,2875,1137700
Quicksort,1543,908400
Quicksort,2874,1309000
Quicksort,1542,797800
Quicksort,2873,1209800
Quicksort,1541,696200
Quicksort,2872,1057700
Quicksort,1540,764400
Quicksort,2871,1179600
Quicksort,1549,817000
Quicksort,1548,745000
Quicksort,2879,985500
Quicksort,1561,1097000
Quicksort,2892,1017200
Quicksort,1560,787000
Quicksort,2891,1665500
Quicksort,2890,1725700
Quicksort,1558,921700
Quicksort,2405,1212200
Quicksort,2889,1193300
Quicksort,1557,728800
Quicksort,2404,966100
Quicksort,2888,994700
Quicksort,1556,1045600
Quicksort,2403,1136600
Quicksort,2887,1144100
Quicksort,1555,797900
Quicksort,2402,1296100
Quicksort,2886,1523000
Quicksort,1554,744300
Quicksort,2401,1133000
Quicksort,2885,1104400
Quicksort,1553,732800
Quicksort,2400,1737900
Quicksort,2884,1193200
Quicksort,1552,696200
Quicksort,2883,1067100
Quicksort,1551,860700
Quicksort,2882,1254800
Quicksort,2409,1255100
Quicksort,2408,1057600
Quicksort,2407,1159800
Quicksort,1559,774000
Quicksort,2406,892000
Quicksort,1572,985800
Quicksort,1571,951900
Quicksort,1570,864800
Quicksort,1569,842000
Quicksort,2416,913900
Quicksort,1568,995000
Quicksort,2415,1127900
Quicksort,2899,1189400
Quicksort,1567,1354900
Quicksort,2414,972500
Quicksort,2898,1184100
Quicksort,1566,825300
Quicksort,2413,935600
Quicksort,2897,1091700
Quicksort,1565,864100
Quicksort,2412,1196100
Quicksort,2896,1125400
Quicksort,1564,929300
Quicksort,2411,1117800
Quicksort,2895,1137000
Quicksort,1563,744600
Quicksort,2410,918500
Quicksort,2894,1518300
Quicksort,1562,1456800
Quicksort,2893,1060000
Quicksort,2419,1161400
Quicksort,2418,1141200
Quicksort,2417,1175300
Quicksort,1583,767400
Quicksort,2430,1012800
Quicksort,1582,937200
Quicksort,1581,933800
Quicksort,1580,1005800
Quicksort,2427,1480400
Quicksort,1579,711500
Quicksort,2426,1072700
Quicksort,1578,753300
Quicksort,2425,983600
Quicksort,1577,878500
Quicksort,2424,904900
Quicksort,1576,1183400
Quicksort,2423,905100
Quicksort,1575,1126900
Quicksort,2422,826700
Quicksort,1574,995900
Quicksort,2421,904200
Quicksort,1573,853700
Quicksort,2420,1208300
Quicksort,2429,1025700
Quicksort,2428,1028900
Quicksort,1110,655500
Quicksort,1594,905800
Quicksort,2441,946800
Quicksort,1593,785100
Quicksort,2440,1012700
Quicksort,1592,908500
Quicksort,1591,900600
Quicksort,1590,841700
Quicksort,1107,704800
Quicksort,2438,903400
Quicksort,1106,726200
Quicksort,2437,974400
Quicksort,1105,687300
Quicksort,1589,735700
Quicksort,2436,996400
Quicksort,1104,590500
Quicksort,1588,911900
Quicksort,2435,1002700
Quicksort,1103,668900
Quicksort,1587,818200
Quicksort,2434,969600
Quicksort,1102,722400
Quicksort,1586,806400
Quicksort,2433,1260100
Quicksort,1101,560800
Quicksort,1585,2919600
Quicksort,2432,914500
Quicksort,1100,641900
Quicksort,1584,798200
Quicksort,2431,1101100
Quicksort,1109,598500
Quicksort,1108,558400
Quicksort,2439,1136200
Quicksort,1121,614900
Quicksort,2452,974600
Quicksort,1120,677800
Quicksort,2451,1224600
Quicksort,2450,1556900
Quicksort,1118,649100
Quicksort,2449,934200
Quicksort,1117,729300
Quicksort,2448,870800
Quicksort,1116,752900
Quicksort,2447,1035200
Quicksort,1115,655700
Quicksort,1599,859800
Quicksort,2446,1039300
Quicksort,1114,557100
Quicksort,1598,803700
Quicksort,2445,945000
Quicksort,1113,652200
Quicksort,1597,804800
Quicksort,2444,1056600
Quicksort,1112,899200
Quicksort,1596,854500
Quicksort,2443,1052100
Quicksort,1111,635500
Quicksort,1595,1274500
Quicksort,2442,1355400
Quicksort,1119,710400
Quicksort,1132,769000
Quicksort,2463,1013700
Quicksort,1131,752000
Quicksort,2462,933300
Quicksort,1130,826200
Quicksort,2461,890200
Quicksort,2460,1238000
Quicksort,1129,740400
Quicksort,1128,777300
Quicksort,2459,1345100
Quicksort,1127,683700
Quicksort,2458,982300
Quicksort,1126,751700
Quicksort,2457,1178200
Quicksort,1125,892600
Quicksort,2456,1346800
Quicksort,1124,890100
Quicksort,2455,994600
Quicksort,1123,664900
Quicksort,2454,1018100
Quicksort,700,639900
Quicksort,1122,685100
Quicksort,2453,1077400
Quicksort,701,583500
Quicksort,702,659300
Quicksort,703,588700
Quicksort,704,546300
Quicksort,705,588400
Quicksort,706,575600
Quicksort,707,575200
Quicksort,708,682700
Quicksort,709,629000
Quicksort,1143,601900
Quicksort,2474,869900
Quicksort,1142,572500
Quicksort,2473,966300
Quicksort,1141,1175300
Quicksort,2472,952800
Quicksort,1140,611900
Quicksort,2471,903200
Quicksort,2470,975200
Quicksort,1139,631000
Quicksort,1138,704900
Quicksort,2469,1248000
Quicksort,1137,672300
Quicksort,2468,1099700
Quicksort,1136,659800
Quicksort,2467,1815400
Quicksort,1135,698400
Quicksort,2466,1262800
Quicksort,710,694900
Quicksort,1134,888300
Quicksort,2465,1276100
Quicksort,711,581600
Quicksort,1133,647600
Quicksort,2464,962600
Quicksort,712,630200
Quicksort,713,553300
Quicksort,714,589100
Quicksort,715,538500
Quicksort,716,583100
Quicksort,717,606600
Quicksort,718,561900
Quicksort,719,602800
Quicksort,1154,844800
Quicksort,2001,777600
Quicksort,2485,964300
Quicksort,1153,784600
Quicksort,2000,948300
Quicksort,2484,958100
Quicksort,1152,831100
Quicksort,2483,1069300
Quicksort,1151,1468100
Quicksort,2482,1351700
Quicksort,1150,1135500
Quicksort,2481,1655100
Quicksort,2480,1287200
Quicksort,1149,817100
Quicksort,1148,672900
Quicksort,2479,1138200
Quicksort,1147,632000
Quicksort,2478,971300
Quicksort,720,661700
Quicksort,1146,847000
Quicksort,2477,979800
Quicksort,721,686000
Quicksort,1145,618400
Quicksort,2476,1033400
Quicksort,722,615800
Quicksort,1144,688000
Quicksort,2475,982900
Quicksort,723,691900
Quicksort,724,613200
Quicksort,725,590800
Quicksort,726,573200
Quicksort,727,681300
Quicksort,728,680000
Quicksort,729,658500
Quicksort,1165,680100
Quicksort,2012,1222000
Quicksort,2496,1337100
Quicksort,1164,571600
Quicksort,2011,922300
Quicksort,2495,1055100
Quicksort,1163,853900
Quicksort,2010,855100
Quicksort,2494,983700
Quicksort,1162,1013400
Quicksort,2493,1894200
Quicksort,1161,791800
Quicksort,2492,1192700
Quicksort,1160,648900
Quicksort,2491,1060000
Quicksort,2490,1155400
Quicksort,2009,989400
Quicksort,2008,877600
Quicksort,2007,1069100
Quicksort,1159,675600
Quicksort,2006,813700
Quicksort,730,600500
Quicksort,1158,708300
Quicksort,2005,888000
Quicksort,2489,861600
Quicksort,731,534900
Quicksort,1157,3022000
Quicksort,2004,1086500
Quicksort,2488,1445900
Quicksort,732,689100
Quicksort,1156,1048200
Quicksort,2003,1149800
Quicksort,2487,896900
Quicksort,733,772400
Quicksort,1155,638800
